Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Short description (product.metafields.custom.short_description),Product Video (product.metafields.custom.video_url),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Audio codecs/formats supported (product.metafields.shopify.audio-codecs-formats-supported),Audio player/recorder features (product.metafields.shopify.audio-player-recorder-features),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Board game features (product.metafields.shopify.board-game-features),Board game mechanics (product.metafields.shopify.board-game-mechanics),Boot type (product.metafields.shopify.boot-type),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Connection type (product.metafields.shopify.connection-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Construction set theme (product.metafields.shopify.construction-set-theme),Decoration material (product.metafields.shopify.decoration-material),Developmental features (product.metafields.shopify.developmental-features),Dexterity skills (product.metafields.shopify.dexterity-skills),Difficulty level (product.metafields.shopify.difficulty-level),Doll type (product.metafields.shopify.doll-type),Drawing/Painting kit items included (product.metafields.shopify.drawing-painting-kit-items-included),Footwear material (product.metafields.shopify.footwear-material),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Infant age group (product.metafields.shopify.infant-age-group),Inline skating style (product.metafields.shopify.inline-skating-style),Karaoke modes (product.metafields.shopify.karaoke-modes),Kit construction type (product.metafields.shopify.kit-construction-type),Language (product.metafields.shopify.language),Laser light source (product.metafields.shopify.laser-light-source),Material (product.metafields.shopify.material),Play equipment items included (product.metafields.shopify.play-equipment-items-included),Play vehicle propulsion (product.metafields.shopify.play-vehicle-propulsion),Portability (product.metafields.shopify.portability),Power source (product.metafields.shopify.power-source),Puzzle theme (product.metafields.shopify.puzzle-theme),Recommended age group (product.metafields.shopify.recommended-age-group),Remote technology (product.metafields.shopify.remote-technology),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Scale model material (product.metafields.shopify.scale-model-material),Shell/Frame material (product.metafields.shopify.shell-frame-material),Shoe size (product.metafields.shopify.shoe-size),Skill level (product.metafields.shopify.skill-level),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Toy tool type (product.metafields.shopify.toy-tool-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
remote-control-rc-planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/90ba6a39-3970-456c-97d0-ad2ed13fc47d.jpg?v=1763008163,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote-control-rc-planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/51Ud0sros7L.jpg?v=1763008163,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wd-kids-radio-gaming-cars,4WD Kids Radio Gaming Cars,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Precision 4WD Control &amp; Low-Center Gravity Dominate every drift with four-wheel drive traction and a low-center gravity design for ultra-stable handling on tabletops, floors, or smooth pavements. Compact 1:64 scale (7.5cm) delivers pro-level performance in tight spaces</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Smart Throttle Curve Adjustment Tailor your speed! Switch between gentle acceleration (ideal for beginners) and aggressive power bursts (for advanced drifts) with the adjustable throttle curve system</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Type-C Fast Charging &amp; Extended Play Power up in 30 minutes via the universal Type-C port for 20+ minutes of nonstop action. The 3.7V 100mAh battery keeps races going longer, perfect for quick sessions</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">2.4GHz Multi-Car Racing Host epic battles! The interference-free 2.4GHz remote (20m range) supports racing multiple cars (sold separately). Perfect for family competitions or solo practice</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Pro Steering &amp; Lighting Control Proportional Steering: Fine-tune turning angles for razor-sharp drifts. Dynamic LEDs: High-brightness headlights (spotlight mode) and brake-activated taillights add realism. Use the remote’s long/short press to toggle lights</span></li>
</ul>",Toycker,Toys & Games > Toys > Remote Control Toys > Remote Control Cars & Trucks,musical toy,"",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,2099.00,2800.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/25130ed1-e4fa-48e2-a938-e5d7b26f6d1b.png?v=1763008579,1,"",false,,,,,,,,,,,,,,,,white; multicolor; green,,,,,,,,,,,,,,,,,,,,,,,,,,6-years-or-older,,,,,,all-levels,indoors,,plastic,,,kg,,,active
4wd-kids-radio-gaming-cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H41d72f0519074ef988ed22df3dd5379cV.jpg?v=1763008579,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wd-kids-radio-gaming-cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H313fe87831364d28a589074e2cc35563z.jpg?v=1763008579,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wd-kids-radio-gaming-cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H877e7f1066b44fb9b47b2463393070ccT.jpg?v=1763008579,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wd-kids-radio-gaming-cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/Hc86978cd8c3a42c4a463873538dc9d50Q.jpg?v=1763008579,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wd-kids-radio-gaming-cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/He3308debf5ce4dd2b42d8e88eea27171n.jpg?v=1763008579,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini-cartoon-electric-remote-control-car,Mini Cartoon Electric Remote Control Car,"<p><label class=""index_module_idAiSummary__content__p__label__01115bb2"">Supplier highlights:</label><span>This supplier mainly exports to France, the United States, and Lebanon, offering flexible customization services such as </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">full customization</span><span>, design customization, and sample customization. Supported by </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">FBA Forwarder</span><span> and product certification, the positive review rate is 88.9%.</span></p>",Toycker,Toys & Games > Toys > Remote Control Toys > Remote Control Cars & Trucks,CAR TOY,"",true,Color,green,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,0,deny,manual,1999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H0e2f9b2cea1b414e8a1ca20d82ab42e43.jpg?v=1762254058,1,"",false,,,Remote Control Car 3D Line Follow Pen Car,,,,,,,,,,,,,green; pink; yellow; blue,,,,,,,,,,,,,,,,,,,,,,,,,,3-years-or-older,,,,,,beginner,outdoors; indoors,,plastic,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H0e2f9b2cea1b414e8a1ca20d82ab42e43.jpg?v=1762254058,kg,,,active
mini-cartoon-electric-remote-control-car,,,,,,,,,pink,,,,,,,,,0.0,shopify,0,deny,manual,1999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/Hd58c7f990c954ace9291f5bf71b71162W.jpg?v=1762512383,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/Hd58c7f990c954ace9291f5bf71b71162W.jpg?v=1762512383,kg,,,
mini-cartoon-electric-remote-control-car,,,,,,,,,yellow,,,,,,,,,0.0,shopify,0,deny,manual,1999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H4a61be9f033f48e9a576246fc1551577D.jpg?v=1762253713,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/Hd58c7f990c954ace9291f5bf71b71162W.jpg?v=1762512383,kg,,,
mini-cartoon-electric-remote-control-car,,,,,,,,,blue,,,,,,,,,0.0,shopify,0,deny,manual,1999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/H5ca25b30984e4763a63649ea0d8a50b4o.jpg?v=1762253713,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/Hd58c7f990c954ace9291f5bf71b71162W.jpg?v=1762512383,kg,,,
pencil-pouch-cricket-theme-big-size,Pencil Pouch Cricket Theme Big Size,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">✔ EVA MATERIAL &amp; EMBROSSED HARDTOP: This carrying pencil case is made of durable and stylish EVA material, compressive, shockproof, waterproof, all-round protection of stationery. Each of cute pencil case comes with an embossed Space Astronaut pattern on the front that gives a vivid look and make your kid happy.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔ PREMIUM QUALITY PENCIL CASE: Pen bag with compartments for better organization. Different compartments make arrangement easier. You can always find right places for your color pens, pencils, eraser, markers and other items. Wide open zipper, convenient to take stationery out.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔ LARGE STORAGE CAPACITY: Durable wide zipper for easy top or bottom closure, ready for every new adventure; Portable travel size makes it very easy and convenient to carry anywhere. Large capacity, wide open mesh pockets allowing to store a variety of items.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔ MULTIPURPOSE: The ultra-cute and stylish pencil cases are here to make a statement, they can be used to carry pencil, pens, colors, other stationary or used as a chic multipurpose travel pouch for storing makeup, essentials, pens etc. It will make the kids stand out in the classroom. Outer Material: Canvas; Inner Material: Net velvet.</span></li>
</ul>",Toycker,Office Supplies > Filing & Organization > Pen & Pencil Cases,EDUCATIONAL TOYS,Educational Toy,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,299.00,429.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/d4740647-1ced-42e1-b46e-73632c5209e1.jpg?v=1762252730,1,"",false,,,,,,,,,shockproof; waterproof; lightweight,ethylene-vinyl-acetate-eva; velvet; canvas,built-in-compartments; external-pockets,,,,handle,multicolor; black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pencil-pouch-cricket-theme-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/25dc1cf9-48ce-4784-a39a-050c60e8b0c0.jpg?v=1762252318,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-cricket-theme-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/95e03225-e580-49f0-af40-bf5afe7204ac.jpg?v=1762252317,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-cricket-theme-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/230957d3-e740-4278-a0d9-be733e0ac0ec.jpg?v=1762252318,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-small-size,Pencil Pouch Small Size,"<ul>
<li>✔ EVA MATERIAL &amp; EMBROSSED HARDTOP: This carrying pencil case is made of durable and stylish EVA material, compressive, shockproof, waterproof, all-round protection of stationery. Each of cute pencil case comes with an embossed Space Astronaut pattern on the front that gives a vivid look and make your kid happy.</li>
<li>✔ PREMIUM QUALITY PENCIL CASE: Pen bag with compartments for better organization. Different compartments make arrangement easier. You can always find right places for your color pens, pencils, eraser, markers and other items. Wide open zipper, convenient to take stationery out.</li>
<li>✔ LARGE STORAGE CAPACITY: Durable wide zipper for easy top or bottom closure, ready for every new adventure; Portable travel size makes it very easy and convenient to carry anywhere. Large capacity, wide open mesh pockets allowing to store a variety of items.</li>
<li>✔ MULTIPURPOSE: The ultra-cute and stylish pencil cases are here to make a statement, they can be used to carry pencil, pens, colors, other stationary or used as a chic multipurpose travel pouch for storing makeup, essentials, pens etc. It will make the kids stand out in the classroom. Outer Material: Canvas; Inner Material: Net velvet.</li>
</ul>",Toycker,Office Supplies > Filing & Organization > Pen & Pencil Cases,EDUCATIONAL TOYS,Educational Toy,true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,199.00,399.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/377de565-e711-411d-a5d6-a6b24f489342.jpg?v=1762252288,1,"",false,,,,,,,,,lightweight; waterproof,velvet; canvas; ethylene-vinyl-acetate-eva,built-in-compartments; external-pockets,,,,,multicolor; pink; white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pencil-pouch-small-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/03cd3e8c-ca91-4f94-80fb-6456d3c806c1.jpg?v=1762252058,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-small-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/d04f0cfa-ca0a-4e51-9ddc-957119e9cf8b.jpg?v=1762252058,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-cartoon-big-size,Pencil Pouch Cartoon Big Size,"<ul>
<li>✔ EVA MATERIAL &amp; EMBROSSED HARDTOP: This carrying pencil case is made of durable and stylish EVA material, compressive, shockproof, waterproof, all-round protection of stationery. Each of cute pencil case comes with an embossed Space Astronaut pattern on the front that gives a vivid look and make your kid happy.</li>
<li>✔ PREMIUM QUALITY PENCIL CASE: Pen bag with compartments for better organization. Different compartments make arrangement easier. You can always find right places for your color pens, pencils, eraser, markers and other items. Wide open zipper, convenient to take stationery out.</li>
<li>✔ LARGE STORAGE CAPACITY: Durable wide zipper for easy top or bottom closure, ready for every new adventure; Portable travel size makes it very easy and convenient to carry anywhere. Large capacity, wide open mesh pockets allowing to store a variety of items.</li>
<li>✔ MULTIPURPOSE: The ultra-cute and stylish pencil cases are here to make a statement, they can be used to carry pencil, pens, colors, other stationary or used as a chic multipurpose travel pouch for storing makeup, essentials, pens etc. It will make the kids stand out in the classroom. Outer Material: Canvas; Inner Material: Net velvet.</li>
</ul>",Toycker,Office Supplies > Filing & Organization > Pen & Pencil Cases,EDUCATIONAL TOYS,Educational Toy,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,299.00,499.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/88b4d23d-7a11-49ab-9623-b19c9cd998d1.jpg?v=1762253066,1,"",false,,, Educational & Learning Toys,,,,,,lightweight; waterproof; shockproof,canvas; ethylene-vinyl-acetate-eva; velvet,external-pockets; built-in-compartments,,,,handle,multicolor; white; pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pencil-pouch-cartoon-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/595f9494-336c-4386-8d47-15a8e9ecfbf6.jpg?v=1762251583,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-cartoon-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/2a0607a9-0982-4a99-a55c-e19e1fb7e8b3.jpg?v=1762251584,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pencil-pouch-cartoon-big-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/020e109b-2ba2-4c92-86e4-64159a0787ea.jpg?v=1762251584,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
